experiment_id,method,method_params,source_dataset,target_dataset,source_domain,target_domain,label_space,canonical_labels,model_architecture,feature_extraction,evaluation_metrics,random_seed,source_split_version,target_split_version,split_version,preprocessing_version,input_length,source_root,target_root,split,label,threshold,accuracy,auroc,auprc,f1_score,prec,rec,sensitivity,spec,aprec,br_score,tn,fp,fn,tp,support
uda_coral_ptbxl_to_chapman,coral,{'lambda': 0.1},PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,model.forward_features,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,unknown,unknown,source:unknown|target:unknown,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/ptb-xl,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,AF,0.062413305044174194,0.9787001952003674,0.9960622982688306,0.8768577514763182,0.8644501278772379,0.7752293577981652,0.976878612716763,0.976878612716763,0.978836305300179,0.9602455096173558,0.010431366472659541,15864,343,28,1183,1211
uda_coral_ptbxl_to_chapman,coral,{'lambda': 0.1},PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,model.forward_features,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,unknown,unknown,source:unknown|target:unknown,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/ptb-xl,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,RBBB,0.048881374299526215,0.9664140544264553,0.9947975423366923,0.8386709529341928,0.8153991795519091,0.7010309278350515,0.9743589743589743,0.9743589743589743,0.9657593835446184,0.94999580411661,0.015163347989755938,15541,551,34,1292,1326
uda_coral_ptbxl_to_chapman,coral,{'lambda': 0.1},PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,model.forward_features,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,unknown,unknown,source:unknown|target:unknown,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/ptb-xl,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,LBBB,0.02118500880897045,0.97525548283385,0.9977691832876818,0.7583647247264151,0.6910394265232974,0.532596685082873,0.9836734693877551,0.9836734693877551,0.9750118147448015,0.9679050341960407,0.003996923113483469,16505,423,8,482,490
uda_coral_ptbxl_to_chapman,coral,{'lambda': 0.1},PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,model.forward_features,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,unknown,unknown,source:unknown|target:unknown,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/ptb-xl,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,1dAVB,0.04384384676814079,0.9241015041910667,0.980426284759708,0.6347729059953768,0.4766429136975455,0.3181818181818182,0.9495268138801262,0.9495268138801262,0.9231410867492851,0.6858563257352949,0.01878470107379997,15494,1290,32,602,634
uda_coral_ptbxl_to_chapman,coral,{'lambda': 0.1},PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,model.forward_features,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,unknown,unknown,source:unknown|target:unknown,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/ptb-xl,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,SB,0.23623456060886383,0.9238718566999655,0.9799447661647969,0.6041540834365088,0.41842105263157897,0.269339356295878,0.93713163064833,0.93713163064833,0.9234727068425099,0.6820664316195226,0.024717433615456176,15615,1294,32,477,509
uda_coral_ptbxl_to_chapman,coral,{'lambda': 0.1},PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,model.forward_features,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,unknown,unknown,source:unknown|target:unknown,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/ptb-xl,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,ST,0.019295629113912582,0.9604432196578252,0.9928850381311507,0.7271582867382653,0.6490066225165563,0.489247311827957,0.9636913767019667,0.9636913767019667,0.9603150922002746,0.8647541658560342,0.012963866678680548,16092,665,24,637,661
uda_coral_ptbxl_to_chapman,coral,{'lambda': 0.1},PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,model.forward_features,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,unknown,unknown,source:unknown|target:unknown,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/ptb-xl,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_validation,AF,0.062413305044174194,0.9661016949152542,0.9806376127652917,0.806664864550826,0.7885714285714287,0.6934673366834171,0.9139072847682119,0.9139072847682119,0.96998031496063,0.8818915449647807,0.018042606347061504,1971,61,13,138,151
uda_coral_ptbxl_to_chapman,coral,{'lambda': 0.1},PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,model.forward_features,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,unknown,unknown,source:unknown|target:unknown,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/ptb-xl,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_validation,RBBB,0.048881374299526215,0.9523591387998168,0.9871663152361554,0.7818869385006816,0.7487922705314008,0.625,0.9337349397590361,0.9337349397590361,0.9538919186911254,0.8873383251352752,0.021707228764467346,1924,93,11,155,166
uda_coral_ptbxl_to_chapman,coral,{'lambda': 0.1},PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,model.forward_features,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,unknown,unknown,source:unknown|target:unknown,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/ptb-xl,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_validation,LBBB,0.02118500880897045,0.972972972972973,0.9886744642388097,0.7068235573723209,0.650887573964497,0.5092592592592593,0.9016393442622951,0.9016393442622951,0.9750235626767201,0.8572019984308479,0.008785950370968378,2069,53,6,55,61
uda_coral_ptbxl_to_chapman,coral,{'lambda': 0.1},PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,model.forward_features,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,unknown,unknown,source:unknown|target:unknown,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/ptb-xl,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_validation,1dAVB,0.04384384676814079,0.912963811268896,0.9623811222063718,0.57288237184697,0.4207317073170732,0.2782258064516129,0.8625,0.8625,0.9148834997622444,0.5712207278422184,0.022929808256768776,1924,179,11,69,80
